Incident_Type,Incident_Description,Language,Risk_Level,Incident_Risk_Percentage,Priority_Level,Children_Involved,Weapon_Mentioned,AI_Confidence_Score
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Narinig ko sa kapitbahayy nakita ang pasa ko.,Tagalog,Critical,98,First Priority (P1),Yes,No,98
Physical Abuse,Kapitbahay tumawag sa tanod ang sigawan. Nakita ko siya may nabalian ang paa sa binti. Sinampl ako ng asawaa ko. Abuseee talaga ito.,English,Critical,99,First Priority (P1),No,No,99
Physical Abuse,Tinadyakan niya ako sa tiyan habang galittt. Narinig ko sa kapitbahayy.,English,Critical,98,First Priority (P1),Yes,No,96
Physical Abuse,"Tinulak niya ako pababa ng hagdan, dinala sa ospital. Narinig ko sa kapitbahayy.",Tagalog,Critical,99,First Priority (P1),Yes,No,99
Physical Abuse,"Tinulak niya ako pababa ng hagdan, nawalan ng malay. Kapitbahay tumawag sa tanod.",English,Critical,95,First Priority (P1),No,Yes,99
Physical + Psychological Abuse,Kinulong niya ako sa kwarto at hindi pinakain. nabalian ang paa. Kapitbahay tumawag sa tanod.,Tagalog,Critical,97,First Priority (P1),No,No,97
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Nakita ko sa kapitbahay nakita ang pasa ko.,Tagalog,Critical,97,First Priority (P1),Yes,Yes,97
Physical Abuse,Tinadyakan niyaa akoo sa tiyan habang galittttt. Nakita ko sa kapitbahay.,Tagalog,Critical,98,First Priority (P1),No,Yes,96
Physical Abuse,Narinig ko sa kapitbahayy ang sigawan. Nakita ko siya may dinala sa ospital sa binti. Sinampl akoo ng asawaa ko. Abuseee talaga ito.,Tagalog,Critical,97,First Priority (P1),No,No,99
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Nakita ko sa kapitbahay nakita ang pasa ko.,English,Critical,97,First Priority (P1),Yes,Yes,96
Physical Abuse,Kinuha niyaa lahat ng pera ko at sinabi na wala akoong silbi. Nakita ko sa kapitbahay nakita ang pasa ko.,English,Critical,97,First Priority (P1),Yes,No,96
Physical + Psychological Abuse,Kinulong niya ako sa kwarto at hindi pinakain. dinala sa ospital. Kapitbahay tumawag sa tanod.,Tagalog,Critical,99,First Priority (P1),Yes,No,96
Physical Abuse,"Tinulak niyaa akoo pababa ng hagdan, nawalan ng malay. Nakita ko sa kapitbahay.",English,Critical,95,First Priority (P1),No,No,98
Physical Abuse,"Tinulak niyaa akoo pababa ng hagdan, dinala sa ospital. Narinig ko sa kapitbahayy.",English,Critical,96,First Priority (P1),No,No,99
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Kapitbahay tumawag sa tanod tumawag sa barangay.,Tagalog,Critical,99,First Priority (P1),No,Yes,99
Physical Abuse,Tinadyakan niya ako sa tiyan habang galittt. Nakita ko sa kapitbahay.,Tagalog,Critical,97,First Priority (P1),Yes,Yes,99
Physical Abuse,"Sinakal niya ako, may pasa sa leeg. Narinig ko sa kapitbahayy narinig ang iyak ng mga bata.",English,Critical,96,First Priority (P1),No,Yes,99
Physical Abuse,Kapitbahay tumawag sa tanod ang sigawan. Nakita ko siya may maraming pasa sa mukha. Sinampl akoo ng asawaa ko. Abuseee talaga ito.,English,Critical,97,First Priority (P1),Yes,No,98
Physical Abuse,"Tinulak niya ako pababa ng hagdan, nabalian ang paa. Nakita ko sa kapitbahay.",English,Critical,96,First Priority (P1),Yes,No,96
Physical Abuse,"Tinulak niya ako pababa ng hagdan, nawalan ng malay. Kapitbahay tumawag sa tanod.",Tagalog,Critical,96,First Priority (P1),No,No,99
Physical Abuse,Tinadyakan niyaa akoo sa tiyan habang galittttt. Kapitbahay tumawag sa tanod.,English,Critical,97,First Priority (P1),Yes,Yes,98
Physical Abuse,"Sinakal niya ako, may pasa sa leeg. Kapitbahay tumawag sa tanod narinig ang iyak ng mga bata.",Tagalog,Critical,94,First Priority (P1),Yes,No,97
Physical Abuse,"Tinulak niyaa akoo pababa ng hagdan, nabalian ang paa. Nakita ko sa kapitbahay.",English,Critical,96,First Priority (P1),No,No,99
Physical Abuse,"Sinakal niyaa akoo, may pasa sa leeg. Narinig ko sa kapitbahayy narinig ang iyak ng mga bata.",Tagalog,Critical,99,First Priority (P1),No,Yes,97
Sexual Abuse,Pinilittt niyaa akoo kahit umiiyak na akoo. Nakita ko sa kapitbahay tumawag sa barangay.,English,Critical,98,First Priority (P1),Yes,Yes,99
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Narinig ko sa kapitbahayy nakita ang pasa ko.,Tagalog,Critical,99,First Priority (P1),No,No,97
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Kapitbahay tumawag sa tanod tumawag sa barangay.,Tagalog,Critical,98,First Priority (P1),Yes,Yes,96
Physical + Psychological Abuse,Kinulong niya ako sa kwarto at hindi pinakain. nabalian ang paa. Nakita ko sa kapitbahay.,English,Critical,98,First Priority (P1),No,Yes,97
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Kapitbahay tumawag sa tanod nakita ang pasa ko.,English,Critical,98,First Priority (P1),No,No,99
Physical Abuse,Kinuha niyaa lahat ng pera ko at sinabi na wala akoong silbi. Narinig ko sa kapitbahayy nakita ang pasa ko.,English,Critical,96,First Priority (P1),Yes,No,96
Physical Abuse,Kapitbahay tumawag sa tanod ang sigawan. Nakita ko siya may maraming pasa sa labi. Sinampl akoo ng asawaa ko. Abuseee talaga ito.,Tagalog,Critical,99,First Priority (P1),No,No,98
Physical Abuse,Nakita ko sa kapitbahay ang sigawan. Nakita ko siya may nabalian ang paa sa binti. Sinampl akoo ng asawaa ko. Abuseee talaga ito.,Tagalog,Critical,98,First Priority (P1),No,Yes,99
Physical Abuse,Kinuha niyaa lahat ng pera ko at sinabi na wala akoong silbi. Nakita ko sa kapitbahay nakita ang pasa ko.,English,Critical,97,First Priority (P1),Yes,No,96
Physical Abuse,"Sinakal niya ako, may pasa sa leeg. Kapitbahay tumawag sa tanod narinig ang iyak ng mga bata.",English,Critical,96,First Priority (P1),No,No,97
Physical Abuse,Tinadyakan niyaa akoo sa tiyan habang galittttt. Narinig ko sa kapitbahayy.,English,Critical,98,First Priority (P1),No,No,99
Sexual Abuse,Pinilittt niyaa akoo kahit umiiyak na akoo. Nakita ko sa kapitbahay tumawag sa barangay.,Tagalog,Critical,95,First Priority (P1),Yes,No,98
Sexual Abuse,Pinilittt niyaa akoo kahit umiiyak na akoo. Kapitbahay tumawag sa tanod tumawag sa barangay.,Tagalog,Critical,95,First Priority (P1),Yes,No,97
Physical Abuse,"Tinulak niya ako pababa ng hagdan, nabalian ang paa. Nakita ko sa kapitbahay.",English,Critical,97,First Priority (P1),Yes,No,96
Physical Abuse,Tinadyakan niya ako sa tiyan habang galittt. Narinig ko sa kapitbahayy.,Tagalog,Critical,98,First Priority (P1),No,Yes,97
Physical Abuse,Tinadyakan niyaa akoo sa tiyan habang galittttt. Nakita ko sa kapitbahay.,Tagalog,Critical,97,First Priority (P1),No,Yes,96
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Nakita ko sa kapitbahay tumawag sa barangay.,Tagalog,Critical,97,First Priority (P1),No,No,98
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Kapitbahay tumawag sa tanod tumawag sa barangay.,Tagalog,Critical,96,First Priority (P1),No,No,97
Physical Abuse,"Tinulak niyaa akoo pababa ng hagdan, maraming pasa. Narinig ko sa kapitbahayy.",English,Critical,96,First Priority (P1),Yes,Yes,98
Physical Abuse,Kinuha niyaa lahat ng pera ko at sinabi na wala akoong silbi. Narinig ko sa kapitbahayy nakita ang pasa ko.,Tagalog,Critical,98,First Priority (P1),No,Yes,98
Physical Abuse,Tinadyakan niya ako sa tiyan habang galittt. Narinig ko sa kapitbahayy.,English,Critical,99,First Priority (P1),Yes,Yes,98
Physical + Psychological Abuse,Kinulong niyaa akoo sa kwarto at hindi pinakain. nawalan ng malay. Narinig ko sa kapitbahayy.,English,Critical,95,First Priority (P1),No,No,99
Physical Abuse,Kinulong niyaa akoo sa kwarto at hindi pinakain. may dugo sa ilong. Narinig ko sa kapitbahayy.,Tagalog,Critical,96,First Priority (P1),Yes,No,99
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Nakita ko sa kapitbahay nakita ang pasa ko.,Tagalog,Critical,98,First Priority (P1),No,No,99
Physical Abuse,"Tinulak niyaa akoo pababa ng hagdan, nawalan ng malay. Kapitbahay tumawag sa tanod.",Tagalog,Critical,97,First Priority (P1),No,No,98
Physical Abuse,"Sinakal niya ako, may pasa sa leeg. Narinig ko sa kapitbahayy narinig ang iyak ng mga bata.",Tagalog,Critical,98,First Priority (P1),No,Yes,98
Physical + Psychological Abuse,Kinulong niyaa akoo sa kwarto at hindi pinakain. nawalan ng malay. Narinig ko sa kapitbahayy.,English,Critical,98,First Priority (P1),Yes,No,98
Physical Abuse,"Sinakal niyaa akoo, may pasa sa leeg. Kapitbahay tumawag sa tanod narinig ang iyak ng mga bata.",Tagalog,Critical,94,First Priority (P1),Yes,Yes,96
Sexual Abuse,Pinilittt niyaa akoo kahit umiiyak na akoo. Narinig ko sa kapitbahayy tumawag sa barangay.,English,Critical,99,First Priority (P1),No,No,96
Physical Abuse,"Tinulak niyaa akoo pababa ng hagdan, nawalan ng malay. Narinig ko sa kapitbahayy.",Tagalog,Critical,99,First Priority (P1),No,Yes,99
Physical Abuse,Tinadyakan niya ako sa tiyan habang galittt. Kapitbahay tumawag sa tanod.,English,Critical,96,First Priority (P1),Yes,No,96
Physical + Psychological Abuse,Kinulong niya ako sa kwarto at hindi pinakain. nabalian ang paa. Narinig ko sa kapitbahayy.,Tagalog,Critical,94,First Priority (P1),Yes,No,97
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Kapitbahay tumawag sa tanod tumawag sa barangay.,Tagalog,Critical,98,First Priority (P1),No,Yes,98
Physical + Psychological Abuse,Kinulong niyaa akoo sa kwarto at hindi pinakain. dinala sa ospital. Nakita ko sa kapitbahay.,Tagalog,Critical,98,First Priority (P1),No,No,97
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Kapitbahay tumawag sa tanod nakita ang pasa ko.,English,Critical,96,First Priority (P1),No,No,98
Physical Abuse,Kinuha niyaa lahat ng pera ko at sinabi na wala akoong silbi. Narinig ko sa kapitbahayy nakita ang pasa ko.,English,Critical,96,First Priority (P1),No,No,99
Physical Abuse,Kapitbahay tumawag sa tanod ang sigawan. Nakita ko siya may may dugo sa ilong sa labi. Sinampl ako ng asawaa ko. Abuseee talaga ito.,Tagalog,Critical,96,First Priority (P1),Yes,No,97
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Nakita ko sa kapitbahay tumawag sa barangay.,English,Critical,98,First Priority (P1),Yes,Yes,96
Physical Abuse,"Sinakal niyaa akoo, may pasa sa leeg. Nakita ko sa kapitbahay narinig ang iyak ng mga bata.",Tagalog,Critical,95,First Priority (P1),No,No,96
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Nakita ko sa kapitbahay nakita ang pasa ko.,English,Critical,97,First Priority (P1),Yes,No,96
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Kapitbahay tumawag sa tanod nakita ang pasa ko.,English,Critical,94,First Priority (P1),Yes,No,98
Physical Abuse,Tinadyakan niyaa akoo sa tiyan habang galittttt. Nakita ko sa kapitbahay.,Tagalog,Critical,99,First Priority (P1),Yes,No,96
Physical Abuse,"Tinulak niya ako pababa ng hagdan, may dugo sa ilong. Kapitbahay tumawag sa tanod.",Tagalog,Critical,96,First Priority (P1),Yes,Yes,96
Physical + Psychological Abuse,Kinulong niya ako sa kwarto at hindi pinakain. dinala sa ospital. Kapitbahay tumawag sa tanod.,Tagalog,Critical,95,First Priority (P1),No,No,99
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Narinig ko sa kapitbahayy tumawag sa barangay.,Tagalog,Critical,98,First Priority (P1),No,No,96
Physical Abuse,"Sinakal niya ako, may pasa sa leeg. Kapitbahay tumawag sa tanod narinig ang iyak ng mga bata.",Tagalog,Critical,97,First Priority (P1),Yes,No,99
Physical Abuse,Kinulong niya ako sa kwarto at hindi pinakain. maraming pasa. Kapitbahay tumawag sa tanod.,Tagalog,Critical,95,First Priority (P1),Yes,No,99
Physical Abuse,"Tinulak niyaa akoo pababa ng hagdan, nawalan ng malay. Kapitbahay tumawag sa tanod.",English,Critical,97,First Priority (P1),No,No,97
Physical Abuse,"Tinulak niyaa akoo pababa ng hagdan, nawalan ng malay. Nakita ko sa kapitbahay.",English,Critical,95,First Priority (P1),No,No,97
Physical Abuse,"Sinakal niya ako, may pasa sa leeg. Narinig ko sa kapitbahayy narinig ang iyak ng mga bata.",Tagalog,Critical,99,First Priority (P1),Yes,Yes,96
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Kapitbahay tumawag sa tanod tumawag sa barangay.,English,Critical,94,First Priority (P1),No,Yes,98
Physical Abuse,"Sinakal niyaa akoo, may pasa sa leeg. Nakita ko sa kapitbahay narinig ang iyak ng mga bata.",Tagalog,Critical,95,First Priority (P1),No,No,97
Physical Abuse,Kinulong niya ako sa kwarto at hindi pinakain. may dugo sa ilong. Kapitbahay tumawag sa tanod.,Tagalog,Critical,96,First Priority (P1),Yes,Yes,98
Sexual Abuse,Pinilittt niyaa akoo kahit umiiyak na akoo. Kapitbahay tumawag sa tanod tumawag sa barangay.,Tagalog,Critical,94,First Priority (P1),No,No,98
Physical Abuse,Tinadyakan niya ako sa tiyan habang galittt. Narinig ko sa kapitbahayy.,English,Critical,95,First Priority (P1),No,Yes,98
Physical Abuse,"Sinakal niyaa akoo, may pasa sa leeg. Kapitbahay tumawag sa tanod narinig ang iyak ng mga bata.",English,Critical,98,First Priority (P1),Yes,Yes,97
Physical Abuse,Kinuha niyaa lahat ng pera ko at sinabi na wala akoong silbi. Nakita ko sa kapitbahay nakita ang pasa ko.,Tagalog,Critical,94,First Priority (P1),No,No,98
Physical Abuse,Kinulong niyaa akoo sa kwarto at hindi pinakain. maraming pasa. Nakita ko sa kapitbahay.,Tagalog,Critical,99,First Priority (P1),No,No,96
Physical Abuse,Kinuha niyaa lahat ng pera ko at sinabi na wala akoong silbi. Nakita ko sa kapitbahay nakita ang pasa ko.,English,Critical,99,First Priority (P1),Yes,Yes,99
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Kapitbahay tumawag sa tanod nakita ang pasa ko.,Tagalog,Critical,97,First Priority (P1),Yes,Yes,99
Physical Abuse,"Tinulak niya ako pababa ng hagdan, nabalian ang paa. Kapitbahay tumawag sa tanod.",Tagalog,Critical,99,First Priority (P1),Yes,Yes,97
Physical Abuse,"Tinulak niya ako pababa ng hagdan, nawalan ng malay. Kapitbahay tumawag sa tanod.",Tagalog,Critical,99,First Priority (P1),Yes,No,96
Physical Abuse,Kinuha niyaa lahat ng pera ko at sinabi na wala akoong silbi. Kapitbahay tumawag sa tanod nakita ang pasa ko.,Tagalog,Critical,99,First Priority (P1),Yes,No,99
Physical Abuse,"Sinakal niya ako, may pasa sa leeg. Nakita ko sa kapitbahay narinig ang iyak ng mga bata.",English,Critical,95,First Priority (P1),Yes,Yes,97
Sexual Abuse,Pinilittt niyaa akoo kahit umiiyak na akoo. Narinig ko sa kapitbahayy tumawag sa barangay.,Tagalog,Critical,98,First Priority (P1),Yes,Yes,96
Physical Abuse,"Tinulak niya ako pababa ng hagdan, dinala sa ospital. Narinig ko sa kapitbahayy.",English,Critical,99,First Priority (P1),No,Yes,99
Physical Abuse,"Sinakal niyaa akoo, may pasa sa leeg. Nakita ko sa kapitbahay narinig ang iyak ng mga bata.",Tagalog,Critical,97,First Priority (P1),Yes,No,99
Sexual Abuse,Pinilittt niyaa akoo kahit umiiyak na akoo. Kapitbahay tumawag sa tanod tumawag sa barangay.,Tagalog,Critical,97,First Priority (P1),No,No,99
Sexual Abuse,Pinilittt niyaa akoo kahit umiiyak na akoo. Nakita ko sa kapitbahay tumawag sa barangay.,English,Critical,99,First Priority (P1),No,No,96
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Narinig ko sa kapitbahayy nakita ang pasa ko.,Tagalog,Critical,95,First Priority (P1),No,Yes,99
Physical Abuse,Kinuha niyaa lahat ng pera ko at sinabi na wala akoong silbi. Kapitbahay tumawag sa tanod nakita ang pasa ko.,English,Critical,96,First Priority (P1),No,No,97
Physical Abuse,"Sinakal niya ako, may pasa sa leeg. Nakita ko sa kapitbahay narinig ang iyak ng mga bata.",Tagalog,Critical,97,First Priority (P1),No,Yes,96
Sexual Abuse,Pinilittt niyaa akoo kahit umiiyak na akoo. Kapitbahay tumawag sa tanod tumawag sa barangay.,English,Critical,97,First Priority (P1),Yes,Yes,99
Physical Abuse,Kinuha niyaa lahat ng pera ko at sinabi na wala akoong silbi. Kapitbahay tumawag sa tanod nakita ang pasa ko.,English,Critical,99,First Priority (P1),Yes,Yes,96
Physical Abuse,Kapitbahay tumawag sa tanod ang sigawan. Nakita ko siya may dinala sa ospital sa likod. Sinampl akoo ng asawaa ko. Abuseee talaga ito.,English,Critical,99,First Priority (P1),Yes,No,99
Physical Abuse,Narinig ko sa kapitbahayy ang sigawan. Nakita ko siya may nabalian ang paa sa binti. Sinampl ako ng asawaa ko. Abuseee talaga ito.,Tagalog,Critical,95,First Priority (P1),Yes,Yes,96
Physical Abuse,"Sinakal niya ako, may pasa sa leeg. Nakita ko sa kapitbahay narinig ang iyak ng mga bata.",English,Critical,96,First Priority (P1),Yes,Yes,97
Sexual Abuse,Pinilittt niyaa akoo kahit umiiyak na akoo. Narinig ko sa kapitbahayy tumawag sa barangay.,English,Critical,97,First Priority (P1),No,Yes,99
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Narinig ko sa kapitbahayy tumawag sa barangay.,English,Critical,97,First Priority (P1),Yes,Yes,97
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Nakita ko sa kapitbahay nakita ang pasa ko.,Tagalog,Critical,94,First Priority (P1),Yes,Yes,96
Physical Abuse,Kinulong niya ako sa kwarto at hindi pinakain. may dugo sa ilong. Nakita ko sa kapitbahay.,English,Critical,96,First Priority (P1),Yes,Yes,96
Physical Abuse,"Sinakal niyaa akoo, may pasa sa leeg. Narinig ko sa kapitbahayy narinig ang iyak ng mga bata.",Tagalog,Critical,97,First Priority (P1),No,Yes,96
Physical Abuse,Tinadyakan niya ako sa tiyan habang galittt. Nakita ko sa kapitbahay.,Tagalog,Critical,97,First Priority (P1),Yes,No,99
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Narinig ko sa kapitbahayy tumawag sa barangay.,Tagalog,Critical,99,First Priority (P1),Yes,Yes,96
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Kapitbahay tumawag sa tanod nakita ang pasa ko.,English,Critical,97,First Priority (P1),No,No,98
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Kapitbahay tumawag sa tanod tumawag sa barangay.,English,Critical,97,First Priority (P1),Yes,Yes,98
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Narinig ko sa kapitbahayy tumawag sa barangay.,Tagalog,Critical,99,First Priority (P1),Yes,No,99
Physical Abuse,Nakita ko sa kapitbahay ang sigawan. Nakita ko siya may nabalian ang paa sa binti. Sinampl ako ng asawaa ko. Abuseee talaga ito.,Tagalog,Critical,94,First Priority (P1),Yes,No,98
Physical Abuse,Tinadyakan niya ako sa tiyan habang galittt. Narinig ko sa kapitbahayy.,English,Critical,94,First Priority (P1),Yes,No,98
Physical Abuse,"Sinakal niya ako, may pasa sa leeg. Kapitbahay tumawag sa tanod narinig ang iyak ng mga bata.",Tagalog,Critical,95,First Priority (P1),No,No,99
Physical Abuse,"Sinakal niyaa akoo, may pasa sa leeg. Narinig ko sa kapitbahayy narinig ang iyak ng mga bata.",English,Critical,98,First Priority (P1),No,No,99
Physical + Psychological Abuse,Kinulong niya ako sa kwarto at hindi pinakain. nawalan ng malay. Narinig ko sa kapitbahayy.,English,Critical,98,First Priority (P1),Yes,Yes,98
Physical Abuse,Tinadyakan niyaa akoo sa tiyan habang galittttt. Nakita ko sa kapitbahay.,Tagalog,Critical,96,First Priority (P1),No,Yes,99
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Kapitbahay tumawag sa tanod tumawag sa barangay.,English,Critical,99,First Priority (P1),No,Yes,98
Physical Abuse,"Sinakal niyaa akoo, may pasa sa leeg. Narinig ko sa kapitbahayy narinig ang iyak ng mga bata.",English,Critical,95,First Priority (P1),No,Yes,96
Physical Abuse,"Tinulak niya ako pababa ng hagdan, maraming pasa. Narinig ko sa kapitbahayy.",Tagalog,Critical,97,First Priority (P1),Yes,Yes,98
Physical Abuse,"Sinakal niya ako, may pasa sa leeg. Kapitbahay tumawag sa tanod narinig ang iyak ng mga bata.",Tagalog,Critical,94,First Priority (P1),Yes,Yes,96
Physical Abuse,"Sinakal niyaa akoo, may pasa sa leeg. Nakita ko sa kapitbahay narinig ang iyak ng mga bata.",Tagalog,Critical,99,First Priority (P1),Yes,No,99
Physical Abuse,Narinig ko sa kapitbahayy ang sigawan. Nakita ko siya may nawalan ng malay sa tiyan. Sinampl ako ng asawaa ko. Abuseee talaga ito.,English,Critical,94,First Priority (P1),No,Yes,98
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Narinig ko sa kapitbahayy tumawag sa barangay.,English,Critical,99,First Priority (P1),Yes,No,97
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Nakita ko sa kapitbahay tumawag sa barangay.,Tagalog,Critical,95,First Priority (P1),No,No,98
Sexual Abuse,Pinilittt niyaa akoo kahit umiiyak na akoo. Kapitbahay tumawag sa tanod tumawag sa barangay.,Tagalog,Critical,96,First Priority (P1),No,No,96
Sexual Abuse,Pinilittt niyaa akoo kahit umiiyak na akoo. Narinig ko sa kapitbahayy tumawag sa barangay.,English,Critical,94,First Priority (P1),Yes,No,99
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Kapitbahay tumawag sa tanod tumawag sa barangay.,English,Critical,98,First Priority (P1),No,No,98
Physical Abuse,Tinadyakan niya ako sa tiyan habang galittt. Narinig ko sa kapitbahayy.,English,Critical,98,First Priority (P1),Yes,Yes,99
Physical Abuse,Nakita ko sa kapitbahay ang sigawan. Nakita ko siya may nabalian ang paa sa likod. Sinampl ako ng asawaa ko. Abuseee talaga ito.,English,Critical,97,First Priority (P1),Yes,Yes,97
Physical Abuse,Tinadyakan niyaa akoo sa tiyan habang galittttt. Kapitbahay tumawag sa tanod.,English,Critical,96,First Priority (P1),No,No,96
Physical Abuse,Nakita ko sa kapitbahay ang sigawan. Nakita ko siya may may dugo sa ilong sa labi. Sinampl ako ng asawaa ko. Abuseee talaga ito.,Tagalog,Critical,96,First Priority (P1),No,Yes,96
Physical Abuse,"Sinakal niya ako, may pasa sa leeg. Kapitbahay tumawag sa tanod narinig ang iyak ng mga bata.",Tagalog,Critical,96,First Priority (P1),No,No,99
Sexual Abuse,Pinilittt niyaa akoo kahit umiiyak na akoo. Kapitbahay tumawag sa tanod tumawag sa barangay.,English,Critical,97,First Priority (P1),Yes,No,97
Physical Abuse,Tinadyakan niya ako sa tiyan habang galittt. Kapitbahay tumawag sa tanod.,English,Critical,98,First Priority (P1),No,Yes,97
Physical Abuse,Kinulong niya ako sa kwarto at hindi pinakain. may dugo sa ilong. Kapitbahay tumawag sa tanod.,English,Critical,94,First Priority (P1),No,No,96
Physical Abuse,Tinadyakan niya ako sa tiyan habang galittt. Nakita ko sa kapitbahay.,Tagalog,Critical,98,First Priority (P1),Yes,No,98
Physical Abuse,"Sinakal niyaa akoo, may pasa sa leeg. Kapitbahay tumawag sa tanod narinig ang iyak ng mga bata.",Tagalog,Critical,98,First Priority (P1),Yes,Yes,97
Physical Abuse,"Sinakal niya ako, may pasa sa leeg. Kapitbahay tumawag sa tanod narinig ang iyak ng mga bata.",English,Critical,95,First Priority (P1),Yes,No,98
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Kapitbahay tumawag sa tanod nakita ang pasa ko.,English,Critical,94,First Priority (P1),Yes,No,97
Physical Abuse,Tinadyakan niya ako sa tiyan habang galittt. Nakita ko sa kapitbahay.,Tagalog,Critical,94,First Priority (P1),No,Yes,98
Physical Abuse,Tinadyakan niya ako sa tiyan habang galittt. Narinig ko sa kapitbahayy.,English,Critical,99,First Priority (P1),No,No,99
Physical Abuse,"Sinakal niya ako, may pasa sa leeg. Nakita ko sa kapitbahay narinig ang iyak ng mga bata.",English,Critical,95,First Priority (P1),Yes,No,98
Physical Abuse,Tinadyakan niya ako sa tiyan habang galittt. Nakita ko sa kapitbahay.,Tagalog,Critical,95,First Priority (P1),Yes,Yes,96
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Kapitbahay tumawag sa tanod tumawag sa barangay.,Tagalog,Critical,94,First Priority (P1),Yes,No,99
Physical Abuse,Tinadyakan niya ako sa tiyan habang galittt. Kapitbahay tumawag sa tanod.,English,Critical,98,First Priority (P1),No,No,99
Physical Abuse,"Tinulak niya ako pababa ng hagdan, maraming pasa. Narinig ko sa kapitbahayy.",English,Critical,99,First Priority (P1),Yes,No,99
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Kapitbahay tumawag sa tanod nakita ang pasa ko.,English,Critical,99,First Priority (P1),No,Yes,99
Physical Abuse,Kinulong niya ako sa kwarto at hindi pinakain. maraming pasa. Narinig ko sa kapitbahayy.,English,Critical,97,First Priority (P1),Yes,Yes,97
Physical Abuse,"Sinakal niya ako, may pasa sa leeg. Kapitbahay tumawag sa tanod narinig ang iyak ng mga bata.",English,Critical,98,First Priority (P1),Yes,No,96
Physical Abuse,"Sinakal niya ako, may pasa sa leeg. Nakita ko sa kapitbahay narinig ang iyak ng mga bata.",English,Critical,97,First Priority (P1),No,No,98
Sexual Abuse,Pinilittt niyaa akoo kahit umiiyak na akoo. Narinig ko sa kapitbahayy tumawag sa barangay.,English,Critical,94,First Priority (P1),No,Yes,96
Physical + Psychological Abuse,Kinulong niyaa akoo sa kwarto at hindi pinakain. nawalan ng malay. Nakita ko sa kapitbahay.,Tagalog,Critical,95,First Priority (P1),Yes,No,98
Sexual Abuse,Pinilittt niya ako kahit umiiyak na ako. Kapitbahay tumawag sa tanod tumawag sa barangay.,Tagalog,Critical,99,First Priority (P1),Yes,Yes,97
Physical + Psychological Abuse,Kinulong niyaa akoo sa kwarto at hindi pinakain. nabalian ang paa. Nakita ko sa kapitbahay.,Tagalog,Critical,97,First Priority (P1),Yes,Yes,98
Physical Abuse,Narinig ko sa kapitbahayy ang sigawan. Nakita ko siya may nawalan ng malay sa tiyan. Sinampl akoo ng asawaa ko. Abuseee talaga ito.,English,Critical,97,First Priority (P1),No,Yes,99
Physical Abuse,Kinulong niya ako sa kwarto at hindi pinakain. maraming pasa. Kapitbahay tumawag sa tanod.,English,Critical,94,First Priority (P1),No,Yes,96
Sexual Abuse,Pinilittt niyaa akoo kahit umiiyak na akoo. Nakita ko sa kapitbahay tumawag sa barangay.,Tagalog,Critical,97,First Priority (P1),No,No,98
Sexual Abuse,Pinilittt niyaa akoo kahit umiiyak na akoo. Kapitbahay tumawag sa tanod tumawag sa barangay.,English,Critical,97,First Priority (P1),No,Yes,96
Physical Abuse,Kinuha niya lahat ng pera ko at sinabi na wala akong silbi. Kapitbahay tumawag sa tanod nakita ang pasa ko.,English,Critical,96,First Priority (P1),No,No,96
